store,product,quantity,price,category,information,Store,Product,Quantity,Price,Category,Information,store 
kfc,chicken wings,3 pieces,200.0,food,best chicken downtown,,,,,,,
kfc,chicken nuggets,9 piecs,230.0,food,best chicken downtown,,,,,,,
kfc,chicken bucket large,7 pieces,399.0,food,best chicken downtown,,,,,,,
kfc,chicken bucket medium,4 pieces,299.0,food,best chicken downtown,,,,,,,
kfc,french fries,1 bag,180.0,food,best chicken downtown,,,,,,,
kfc,"Beverages (coke,pepsi,7up,mountain dew,miranda)",1 cup,50.0,drinks,best chicken downtown,,,,,,,
,,,,,,Nike,Running Shoes,10.0,20.0,Fashion,Best Seller,
,,,,,,Nike,Sneakers,20.0,50.0,Sports,Limited Edition,
,,,,,,Nike,Football Boots,30.0,100.0,Food,New Arrival,
,,,,,,Nike,Training Shoes,40.0,150.0,Accessories,Discounted,
,,,,,,Nike,Sportswear,50.0,200.0,Gadgets,Exclusive,
,,,,,,Nike,Athletic Apparel,60.0,250.0,Entertainment,Popular,
,,,,,,Puma,Track Pants,10.0,20.0,Fashion,Best Seller,
,,,,,,Puma,Running Shoes,20.0,50.0,Sports,Limited Edition,
,,,,,,Puma,Puma T-shirt,30.0,100.0,Food,New Arrival,
,,,,,,Puma,Sneakers,40.0,150.0,Accessories,Discounted,
,,,,,,Puma,Sports Cap,50.0,200.0,Gadgets,Exclusive,
,,,,,,Puma,Training Shoes,60.0,250.0,Entertainment,Popular,
,,,,,,Skechers,Walking Shoes,10.0,20.0,Fashion,Best Seller,
,,,,,,Skechers,Sneakers,20.0,50.0,Sports,Limited Edition,
,,,,,,Skechers,Comfort Shoes,30.0,100.0,Food,New Arrival,
,,,,,,Skechers,Sports Sandals,40.0,150.0,Accessories,Discounted,
,,,,,,Skechers,Memory Foam Shoes,50.0,200.0,Gadgets,Exclusive,
,,,,,,Skechers,Running Shoes,60.0,250.0,Entertainment,Popular,
,,,,,,Reebok,Crossfit Shoes,10.0,20.0,Fashion,Best Seller,
,,,,,,Reebok,Gym Bag,20.0,50.0,Sports,Limited Edition,
,,,,,,Reebok,Fitness Shoes,30.0,100.0,Food,New Arrival,
,,,,,,Reebok,Training Shoes,40.0,150.0,Accessories,Discounted,
,,,,,,Reebok,Sports Bottle,50.0,200.0,Gadgets,Exclusive,
,,,,,,Reebok,Sneakers,60.0,250.0,Entertainment,Popular,
